price_change, adress, living_area, district, final_price, land_area, date_sold
Tussmötevägen 248; 126 + 23 m²; Villa, Stureby; 652 m² tomt; 2 mar 2020; +10,4%; 8 825 000 kr
Torögatan 69; 7 rum, 93 + 101 m²; Villa, Enskede; 495 m² tomt; 13 maj 2020; +3,5%; 6 720 000 kr
Kulstötarvägen 54; 5 rum, 66 + 42 m²; Villa, Tallkrogen; 499 m² tomt; 10 feb 2020; +2,1%; 5 870 000 kr
Herrhagsvägen 90; 5 rum, 87 + 56 m²; Villa, Enskede; 585 m² tomt; 24 apr 2020; +5,9%; 7 725 000 kr
Svampvägen 131; 5 rum, 101 + 54 m²; Villa, Gamla Enskede; 413 m² tomt; 31 mar 2020; -3,6%; 9 500 000 kr
Dagövägen 30; 92 + 49 m²; Villa, Enskede Gård; 500 m² tomt; 1 apr 2020; +6,8%; 7 450 000 kr
Lemmings väg 36; 69 + 69 m²; Villa, Enskede; 456 m² tomt; 26 mar 2020; —; 1 287 000 kr
Dagövägen 32; 87 + 49 m²; Villa, Enskede Gård; 532 m² tomt; 1 apr 2020; +16,1%; 8 350 000 kr
Herrhagsvägen 106; 90 + 62 m²; Villa, Enskede; 577 m² tomt; 27 mar 2020; +8,6%; 7 600 000 kr
Kulstötarvägen 54; 53 + 62 m²; Villa, Enskede; 499 m² tomt; 11 mar 2020; —; 5 870 000 kr
Rapphönsvägen 15; 66 + 66 m²; Villa, Enskede; 499 m² tomt; 25 mar 2020; —; 7 950 000 kr
Tallkrogsvägen 120; 87 + 87 m²; Villa, Enskede; 505 m² tomt; 2 mar 2020; +7,5%; 8 060 000 kr
Krokvägen 137; 4 rum, 54 + 54 m²; Villa, Enskede; 120 370 kr/m²; 30 mar 2020; —; 6 500 000 kr
Vivstavarvsvägen 211; 6 rum, 165 + 110 m²; Villa, Enskede; 1 088 m² tomt; 27 mar 2020; +24,7%; 10 600 000 kr
Margaretavägen 8; 80 + 55 m²; Villa, Enskede; 440 m² tomt; 6 mar 2020; —; 10 500 000 kr
Lingvägen 63; 7 rum, 116 + 66 m²; Villa, Tallkrogen; 508 m² tomt; 18 mar 2020; +15,6%; 8 550 000 kr
Herrhagsvägen 126; 67 + 62 m²; Villa, Enskede; 577 m² tomt; 28 feb 2020; +2,9%; 6 125 000 kr
Tallkrogsvägen 51; 66 + 66 m²; Villa, Tallkrogen; 551 m² tomt; 28 feb 2020; +0,0%; 6 500 000 kr
Nämdögatan 5; 69 + 71 m²; Villa, Enskede; 581 m² tomt; 25 feb 2020; +15,4%; 7 500 000 kr
Margaretavägen 100; 111 + 83 m²; Villa, Enskede; 482 m² tomt; 14 feb 2020; —; 14 000 000 kr
Herrhagsvägen 3; 93 + 60 m²; Villa, Enskede; 502 m² tomt; 31 jan 2020; —; 7 225 000 kr
Tryffelgränd 12; 6 rum, 138 + 70 m²; Villa, Gamla Enskede; 587 m² tomt; 20 feb 2020; +10,0%; 11 550 000 kr
Sotholmsvägen 17; 82 + 42 m²; Villa, Enskede; 542 m² tomt; 10 jan 2020; +12,0%; 5 600 000 kr
Usedomsvägen 10; 195 + 100 m²; Villa, Enskede; 691 m² tomt; 2 jan 2020; +3,4%; 10 550 000 kr
Margaretavägen 56; 112 + 65 m²; Villa, Gamla Enskede; 457 m² tomt; 29 jan 2020; +14,3%; 12 450 000 kr
Katrineforsvägen 3; 124 + 68 m²; Villa, Enskede; 673 m² tomt; 31 jan 2020; —; 6 500 000 kr
Kådstigen 17; 110 + 110 m²; Villa, Stureby; 798 m² tomt; 29 jan 2020; +17,9%; 8 835 000 kr
Odelbergsvägen 80; 100 + 40 m²; Villa, Enskede; 517 m² tomt; 3 feb 2020; +0,0%; 7 500 000 kr
Herrhagsvägen 36; 5 rum, 122 + 48 m²; Villa, Enskede; 537 m² tomt; 12 feb 2020; +11,5%; 9 250 000 kr
Ramviksvägen 202; 5 rum, 125 + 53 m²; Villa, Stureby; 816 m² tomt; 11 feb 2020; +20,6%; 10 700 000 kr
Muskögatan 6; 77 + 57 m²; Villa, Enskede; 483 m² tomt; 7 jan 2020; —; 8 200 000 kr
Muskögatan 6; 77 + 57 m²; Villa, Enskede; 483 m² tomt; 7 jan 2020; —; 8 200 000 kr
Dorpatsvägen 20; 78 + 44 m²; Villa, Enskedefältet; 556 m² tomt; 9 dec 2019; +1,6%; 6 600 000 kr
Skutskärsvägen 39; 139 + 84 m²; Villa, Enskede; 828 m² tomt; 22 jan 2020; —; 6 700 000 kr
Bägersta Byväg 11; 89 + 66 m²; Villa, Enskede; 478 m² tomt; 20 jan 2020; —; 10 600 000 kr
Maratonvägen 121; 73 + 85 m²; Villa, Tallkrogen; 514 m² tomt; 15 jan 2020; +15,5%; 7 500 000 kr
Olympiavägen 42; 53 + 53 m²; Villa, Enskede; 501 m² tomt; 20 dec 2019; +12,8%; 5 300 000 kr
Häringevägen 2; 90 + 89 m²; Villa, Enskede; 591 m² tomt; 7 jan 2020; —; 7 325 000 kr
Skärblackavägen 26; 110 + 61 m²; Villa, Stureby; 681 m² tomt; 2 dec 2019; +4,9%; 9 125 000 kr
Fiskebyvägen 3; 6 rum, 140 + 40 m²; Villa, Enskede Stureby; 880 m² tomt; 9 nov 2018; -3,9%; 7 200 000 kr
Olympiavägen 124; 65 + 61 m²; Villa, Farsta stadsdelsområde; 569 m² tomt; 13 dec 2019; +15,8%; 6 945 000 kr
Krokvägen 67; 69 + 66 m²; Villa, Enskede; 699 m² tomt; 18 dec 2019; +4,4%; 7 300 000 kr
Sandsborgsvägen 25; 172 + 75 m²; Villa, Enskede; 735 m² tomt; 12 dec 2019; +6,0%; 11 125 000 kr
Stafettvägen 7; 68 + 68 m²; Villa, Enskede; 517 m² tomt; 15 nov 2019; +6,1%; 5 300 000 kr
Kyrklundsvägen 3; 123 + 76 m²; Villa, Enskede; 425 m² tomt; 2 dec 2019; —; 13 000 000 kr
Skogsvägen 48; 108 + 48 m²; Villa, Gamla Enskede; 579 m² tomt; 13 dec 2019; -5,3%; 9 000 000 kr
Finska gatan 5; 68 + 40 m²; Villa, Enskede; 619 m² tomt; 10 dec 2019; —; 5 000 000 kr
Gamla Dalarövägen 36; 112 + 62 m²; Villa, Enskede; 619 m² tomt; 29 nov 2019; +8,9%; 9 250 000 kr
Kubikenborgsvägen 19; 139 + 64 m²; Villa, Stureby; 686 m² tomt; 31 jul 2019; +14,8%; 9 125 000 kr
Fiskebyvägen 3; 140 + 40 m²; Villa, Stureby; 880 m² tomt; 15 okt 2019; +22,2%; 9 650 000 kr
Hammerstavägen 130; 82 + 82 m²; Villa, Farsta stadsdelsområde; 550 m² tomt; 2 dec 2019; +3,7%; 5 700 000 kr
Lemmings väg 1; 86 + 79 m²; Villa, Enskede; 622 m² tomt; 30 okt 2019; —; 7 050 000 kr
